project_id,package_id,scope,dataset_id,version,project_num,title,shortname,search_column_1
210437,knb-lter-jrn.210437048.28,knb-lter-jrn,210437048,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437018.28,knb-lter-jrn,210437018,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437106.25,knb-lter-jrn,210437106,25,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437035.26,knb-lter-jrn,210437035,26,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437050.26,knb-lter-jrn,210437050,26,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437020.26,knb-lter-jrn,210437020,26,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437065.26,knb-lter-jrn,210437065,26,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437034.28,knb-lter-jrn,210437034,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437080.27,knb-lter-jrn,210437080,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437005.26,knb-lter-jrn,210437005,26,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437036.27,knb-lter-jrn,210437036,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437051.25,knb-lter-jrn,210437051,25,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437021.27,knb-lter-jrn,210437021,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437066.25,knb-lter-jrn,210437066,25,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437095.27,knb-lter-jrn,210437095,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437096.27,knb-lter-jrn,210437096,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437081.27,knb-lter-jrn,210437081,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437006.27,knb-lter-jrn,210437006,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437067.24,knb-lter-jrn,210437067,24,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437037.27,knb-lter-jrn,210437037,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437052.27,knb-lter-jrn,210437052,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437097.27,knb-lter-jrn,210437097,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
