id,project_id,packageid,scope,datasetid,version,resnotif_id,project_title
knb-lter-jrn.210437048,210437,knb-lter-jrn.210437048.26,knb-lter-jrn,210437048,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437076,210437,knb-lter-jrn.210437076.26,knb-lter-jrn,210437076,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437001,210437,knb-lter-jrn.210437001.26,knb-lter-jrn,210437001,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437113,210437,knb-lter-jrn.210437113.13,knb-lter-jrn,210437113,13,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437115,210437,knb-lter-jrn.210437115.13,knb-lter-jrn,210437115,13,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437114,210437,knb-lter-jrn.210437114.13,knb-lter-jrn,210437114,13,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437109,210437,knb-lter-jrn.210437109.13,knb-lter-jrn,210437109,13,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437031,210437,knb-lter-jrn.210437031.26,knb-lter-jrn,210437031,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437032,210437,knb-lter-jrn.210437032.26,knb-lter-jrn,210437032,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437046,210437,knb-lter-jrn.210437046.27,knb-lter-jrn,210437046,27,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437079,210437,knb-lter-jrn.210437079.26,knb-lter-jrn,210437079,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437016,210437,knb-lter-jrn.210437016.26,knb-lter-jrn,210437016,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437061,210437,knb-lter-jrn.210437061.24,knb-lter-jrn,210437061,24,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437091,210437,knb-lter-jrn.210437091.26,knb-lter-jrn,210437091,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437077,210437,knb-lter-jrn.210437077.26,knb-lter-jrn,210437077,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437003,210437,knb-lter-jrn.210437003.26,knb-lter-jrn,210437003,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437106,210437,knb-lter-jrn.210437106.23,knb-lter-jrn,210437106,23,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437035,210437,knb-lter-jrn.210437035.24,knb-lter-jrn,210437035,24,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437050,210437,knb-lter-jrn.210437050.24,knb-lter-jrn,210437050,24,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437018,210437,knb-lter-jrn.210437018.26,knb-lter-jrn,210437018,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437097,210437,knb-lter-jrn.210437097.25,knb-lter-jrn,210437097,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437083,210437,knb-lter-jrn.210437083.25,knb-lter-jrn,210437083,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437082,210437,knb-lter-jrn.210437082.25,knb-lter-jrn,210437082,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437047,210437,knb-lter-jrn.210437047.26,knb-lter-jrn,210437047,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437017,210437,knb-lter-jrn.210437017.26,knb-lter-jrn,210437017,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437062,210437,knb-lter-jrn.210437062.24,knb-lter-jrn,210437062,24,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437092,210437,knb-lter-jrn.210437092.26,knb-lter-jrn,210437092,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437099,210437,knb-lter-jrn.210437099.25,knb-lter-jrn,210437099,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437098,210437,knb-lter-jrn.210437098.25,knb-lter-jrn,210437098,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437085,210437,knb-lter-jrn.210437085.26,knb-lter-jrn,210437085,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437084,210437,knb-lter-jrn.210437084.25,knb-lter-jrn,210437084,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437011,210437,knb-lter-jrn.210437011.27,knb-lter-jrn,210437011,27,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437036,210437,knb-lter-jrn.210437036.25,knb-lter-jrn,210437036,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437051,210437,knb-lter-jrn.210437051.23,knb-lter-jrn,210437051,23,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437021,210437,knb-lter-jrn.210437021.25,knb-lter-jrn,210437021,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437066,210437,knb-lter-jrn.210437066.24,knb-lter-jrn,210437066,24,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437043,210437,knb-lter-jrn.210437043.25,knb-lter-jrn,210437043,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437058,210437,knb-lter-jrn.210437058.25,knb-lter-jrn,210437058,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437028,210437,knb-lter-jrn.210437028.25,knb-lter-jrn,210437028,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437033,210437,knb-lter-jrn.210437033.26,knb-lter-jrn,210437033,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437102,210437,knb-lter-jrn.210437102.25,knb-lter-jrn,210437102,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437086,210437,knb-lter-jrn.210437086.25,knb-lter-jrn,210437086,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437087,210437,knb-lter-jrn.210437087.25,knb-lter-jrn,210437087,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437012,210437,knb-lter-jrn.210437012.25,knb-lter-jrn,210437012,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437013,210437,knb-lter-jrn.210437013.25,knb-lter-jrn,210437013,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437059,210437,knb-lter-jrn.210437059.25,knb-lter-jrn,210437059,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437029,210437,knb-lter-jrn.210437029.25,knb-lter-jrn,210437029,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437073,210437,knb-lter-jrn.210437073.23,knb-lter-jrn,210437073,23,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437074,210437,knb-lter-jrn.210437074.23,knb-lter-jrn,210437074,23,437,NPP site instrumentation on a wireless network
